relation_site_id,site_source_id,site_cible_id,source_reference,target_reference,type_relation_code,statut_validation_code,fiabilite_code,justification
19b68811-24e6-4660-aa95-c965bb9e5066,8e9fa78e-96f9-4b8c-849c-0108747b9841,9a2fa262-bc53-45ef-8970-dce2042b95db,IA00061009,IA00060961,composant_de,valide,forte,La notice indique explicitement que la cité ouvrière fait partie de l'ensemble d'industrie extractive de la mine de Halouze.
6c689b40-8e34-4984-9e56-cda37deef67f,0e09a2f4-299f-4f16-9698-7cf04a159af6,9a2fa262-bc53-45ef-8970-dce2042b95db,IA00061011,IA00060961,composant_de,valide,forte,La notice indique explicitement que la cité Lebardier fait partie de l'ensemble d'industrie extractive de la mine de Halouze.
e519a1fa-f35a-4109-a91c-fceb5c7a2123,dc323429-58be-4d71-8b66-3b631c6afaaf,657b5274-d833-4808-a775-a10278f52efc,IA00061200,IA00060912,depend_de,valide,forte,La cité est construite par la société exploitant la concession minière de La Ferrière-aux-Étangs pour loger sa main-d'œuvre.
e04a9871-bf2c-4856-bb33-42fd2d1c5ba3,b9c1b4c2-b4cd-40f7-b28c-92ebf21eb43d,657b5274-d833-4808-a775-a10278f52efc,IA00061201,IA00060912,depend_de,valide,forte,La cité du Gué-Plat est construite et agrandie par la société exploitant la mine de La Ferrière-aux-Étangs.
553e9943-43d9-4f85-a41e-4b8e7b473152,c160a3e4-5fde-4683-b1a4-5487b1c43eec,944bf2ff-56f0-484b-be75-51ea1a1f3867,IA00061188,IA00061187,depend_de,valide,forte,La notice décrit la fenderie comme dépendant de l'affinerie et du haut fourneau de Larchamp.
c612a227-67b8-4035-94e1-11a4953f879f,c1a0c861-acac-4ee8-b723-9e0bda1815b1,78487171-b58c-4885-9672-52b862ae7cb9,IA00061039,IA00060893,approvisionne,valide,forte,L'usine du Plafond produit les tissus d'amiante imprégnés sur ce site à partir de 1928.
174f5c4b-fb05-4ab4-a13a-e2ef190bc756,b714582a-6489-4b64-8c34-2eab982876d7,628b5841-d265-4efe-8fbf-e0f63652c2a7,IA00060894,IA00060964,approvisionne,valide,forte,Le haut fourneau de Dompierre alimentait en gueuses l'affinerie de Varenne. Les deux notices l'attestent.
aa5fcf0c-a33e-484c-90ca-e1124e7f7fff,2c664ed5-7ee5-4315-aa61-e9b9032b56c0,e61d881e-163a-4f24-8c85-fb32e4c3041f,IA00060915,IA00060913,approvisionne,valide,forte,Le tissage est alimenté en fils de coton par la filature de la Planchette.
5f21f6bb-07d2-4852-94d1-0bc539f3f741,0e9e1f19-8f5b-4d23-be23-d58413c607fc,46d6dfbf-61d6-4548-bb60-33b5bb087cc5,IA00060947,IA00060946,approvisionne,valide,forte,Le haut fourneau alimentait en fonte l'affinerie transférée à Cossé à la fin du 16e siècle.
b6b89428-21aa-430f-afbb-cd5832011d79,eecbfaa3-35fa-488f-841f-08c92b88d293,4d1cc2e0-20de-4869-9296-0101922e86af,IA00061024,IA00061025,approvisionne,valide,forte,Le haut fourneau alimentait en fonte la forge de Carrouges.
877d025e-6410-4656-af9a-b78bcd612227,c1a0c861-acac-4ee8-b723-9e0bda1815b1,2531b4fb-10c7-410c-abe6-43a99bad7134,IA00061039,IA00061040,approvisionne,valide,forte,Les fils d'amiante assemblés ici sont produits à l'usine du Plafond.
f1d31f5c-45d9-4807-8d45-370239e4e82f,7270f809-287c-48d8-9f67-7c5c42019b9c,9edcbc72-3d53-4ff8-b68b-e89dfe1f8c37,IA00061087,IA00060949,approvisionne,valide,forte,Le haut fourneau alimentait la forge de la Roche.
e7c1af4b-ab85-4cb1-b990-95f233da8d5d,9300e852-d6d6-4398-bfb5-363747bb600b,1c4f103a-7001-43d0-a693-db8e1bce1f97,IA00061053,IA00061144,approvisionne,valide,forte,Les métaux non ferreux matricés ici sont produits à Boisthorel et livrés par voie ferrée particulière.
1517dc99-cacd-4fd4-ab28-52bd031e403e,9300e852-d6d6-4398-bfb5-363747bb600b,79e0c86c-49e0-45b3-8966-eb9377905a8f,IA00061053,IA00061145,approvisionne,valide,forte,"Les fils de laiton, de bronze et de maillechort sont fournis par l'usine voisine de Boisthorel."
33d66a17-84f4-46a9-a64d-b6cbf5b711b0,017dbce1-a16d-41d6-8b60-c327e2bebb9c,6c67e9dd-5602-439e-b43a-f5d274f28774,IA00061093,IA00061094,approvisionne,valide,forte,Le haut fourneau de Gaillon alimentait en gueuses les forges de Gaillon et de Randonnai.
73254f11-f648-4a2c-8cc6-b2724e96ce0c,017dbce1-a16d-41d6-8b60-c327e2bebb9c,d3b03277-ed43-4b02-83e5-34d59727d1b1,IA00061093,IA00061158,approvisionne,valide,forte,Le haut fourneau de Gaillon alimentait en gueuses les forges de Gaillon et de Randonnai.
62fbafdc-058c-4f15-983a-bd098d1a3548,6c67e9dd-5602-439e-b43a-f5d274f28774,fdf96df3-c8bc-4d56-9e29-5da505a6ecaa,IA00061094,IA00061096,approvisionne,valide,forte,La fenderie était alimentée en fer par les affineries de Gaillon et de Randonnai.
c769d4b6-7be7-4b99-9ea4-bb15071eb8f6,d3b03277-ed43-4b02-83e5-34d59727d1b1,fdf96df3-c8bc-4d56-9e29-5da505a6ecaa,IA00061158,IA00061096,approvisionne,valide,forte,La fenderie était alimentée en fer par les affineries de Gaillon et de Randonnai.
bafda01a-d8c5-4497-a4e4-37e29be8b1f3,d0eafed6-a138-4b49-94f9-e337a2eaba31,7ec3d0fb-2b31-4906-a232-ae2e8a365a62,IA00061023,IA00060948,approvisionne,valide,forte,La fenderie était alimentée en fer par la forge du Champ-de-la-Pierre. La commune ne compte que ces deux sites.
0f1b86ff-f709-4bdf-adbe-afc429d4b42c,b90dba0b-3e14-4b39-91ee-1db6eb1b2c04,b1136ddb-9fff-4209-8328-e5caed705388,IA00061112,IA00061153,approvisionne,valide,faible,Deux établissements non localisés alimentaient en gueuses une affinerie « peut-être » établie à Beaumont. La source doute elle-même.
